古文,現代語訳
はしたなし,不釣り合いだ ／ 不愛想だ ／ はげしい ／ きまりが悪い
わりなし,道理に合わない ／ 並々ではない ／ 耐えがたい ／ しかたがない
ずちなし（術なし）,どうしようもない ／ しかたがない
あへなし,あっけない／はりあいがない ／ どうしようもない
くまなし（隈無し）,暗い所がない ／ 行き届かないところがない
めざまし,気にくわない ／ 不愉快だ
こころづきなし,気に入らない ／ 気にくわない
ゆくりなし,突然だ ／ 思いがけない
あつし（篤し）,病状が重い ／ 病弱である
あながちなり,無理やりだ／強引だ ／ むやみだ／はなはだしい
なめげなり,無礼だ ／ 無作法だ
なのめなり,並一通りだ ／ いい加減だ
おぼろけなり,並一通りだ ／ 並々ではない／格別だ
あやにくなり,(思いに反して)ひどい ／ はなはだしい
まめやかなり,まじめだ／本気だ ／ 実生活向きだ ／ 本格的だ
せちなり（切なり）,切実だ／身にしみる ／ 大切だ ／ ひたすら／いちずに
よそなり,無縁だ ／ 無関係だ
うちつけなり,突然だ／だしぬけだ ／ 軽率だ／無礼だ
とみなり（頓なり）,急だ ／ すぐに
みそかなり,ひそかだ
こまやかなり,心を込めている／丁寧だ ／ 色が濃い ／ 繊細で美しい
らうたげなり,かわいらしい ／ 可憐だ
いうなり（優なり）,優美だ ／ 優れている
うち（内裏）,宮中／内裏 ／ 天皇／帝
うへ（上）,天皇／帝 ／ 奥様／奥方 ／ 御座所
しな（品）,身分 ／ 家柄
ふるさと（古里）,古都／旧都 ／ なじみのある土地 ／ 実家／わが家
こころばへ,心遣い／配慮 ／ 性格／性質 ／ 趣／風情
ひま（暇）,すき間 ／ 絶え間 ／ すき／機会
ひがごと（僻事）,間違い ／ 過ち
とが（咎・科）,欠点 ／ 罪／過ち
そらごと,嘘 ／ 偽り
せうそこ（消息）,手紙／伝言 ／ 訪問／来意を告げること
くもゐ（雲居）,宮中／都 ／ 天上／空 ／ 遠く離れた所
かしこまり,お礼 ／ お詫び ／ 謹慎
よ・よのなか,男女の仲 ／ 夫婦の仲
かぎり（限り）,(人生の)最期／最後 ／ すべて ／ だけ／ばかり
ここら・そこら,たくさん
かたみに（互に）,たがいに
わざと,わざわざ ／ 特別に ／ 本格的な
うたて,いやなことに ／ 不快に
かねて（予ねて）,前もって／前から ／ ～前から
やをら,そっと ／ 静かに
よもすがら,一晩中 ／ 夜通し
ゆめ・ゆめゆめ～打消,まったく～ない ／ 決して～(し)てはいけない
をさをさ～打消,ほとんど～ない ／ めったに～ない
あなかま,しっ／静かに ／ ああ／うるさい
かちより,歩いて ／ 徒歩で
けしからず,異様だ ／ 変だ
おもひやる,想像する ／ 思いをはせる
おきつ（掟つ）,あらかじめ決める ／ 指図する／命令する
すまふ（争ふ・辞ふ）,抵抗する ／ 断る
さす（鎖す）,閉める ／ 途中で～(する)のをやめる
しほたる,涙で袖が濡れる ／ 涙を流す
たばかる（謀る）,工夫する ／ だます／ごまかす
まつりごつ,政治を行う
ろうろうじ,もの慣れている ／ 気品がある／洗練されている
むむくつけし,不気味だ ／ 気味が悪い
おほけなし,身の程知らずだ ／ 分不相応だ
いぶせし,気が晴れない ／ 気になる
しるし,明白だ／明瞭だ ／ ～もそのとおりに／～もてきめんに
こよなし,格段である ／ 格段に劣っている
くやし（悔し）,悔やまれる ／ 後悔される
たのし（楽し）,裕福だ ／ 豊かだ
おもはずなり,思いがけない ／ 意外だ
ことなり（異なり）,別である／ほかと違う ／ 違う～
いろ（色）,情趣／風情 ／ 恋愛／異性
こころ（心）,情趣を解する心／風流心
ゆゑ（故）,理由 ／ 品格／由緒 ／ 風情／趣
あない（案内）,内情
さた（沙汰）,評議 ／ 指図／命令 ／ 処置／始末
やう（様）,わけ／事情 ／ 手段／方法 ／ こと／様子
あらまし,計画／予定／願い
いそぎ（急ぎ）,準備 ／ 用意
つま（端）,先／端 ／ きっかけ／糸口
はらから（同胞）,兄弟姉妹
けぢめ,区別 ／ 違い
そのかみ,その時 ／ その昔
ただびと,臣下 ／ 普通の貴族
をりふし（折節）,ちょうどその時 ／ その時々／折々／季節
はやく（早く）,以前／昔 ／ すでに ／ なんとまあ／実は
つくづくと,しんみりと ／ しみじみと
せめて,無理やり ／ 非常に／きわめて
さりとも,いくらなんでも ／ それにしても
さて,そのまま ／ そのほかの
おほかた～打消,まったく～ない ／ 少しも～ない
かまへて,注意して ／ ぜひとも ／ 決して
させる,たいした ／ これといった
さはれ,どうにでもなれ ／ ままよ
いとしもなし,たいしたことはない
かずならず,取るに足らない ／ 物の数ではない
いかにぞや,あまり感心しない ／ どんなものか
さればよ,思った通りだ ／ 案の定
よのつねなり,ありたきりだ ／ 月並みな表現だ
ただならず,様子が普通ではない ／ 心が平静ではない ／ 妊娠する
ものもおぼえず,呆然としている ／ 道理をわきまえない
ひとやりならず,自分の心からする
またのひ,翌日 ／ 次の日
～あへず,最期まで～しきれない
