古文,現代語訳
あたらし（可惜し・新し）,惜しい／もったいない ／ すばらしい／立派だ ／ 新しい／新鮮だ
おろかなり（疎かなり・愚かなり）,いい加減だ／疎かだ／並一通りだ ／ 不十分だ／未熟だ ／ 愚かだ／ばかげている
つれづれなり（徒然なり）,所在ない／退屈だ／退屈で物思いに沈む
きよらなり（清らなり）,上品で美しい／華美だ／清く美しい／華麗だ
こまやかなり,（色が）濃い／詳細だ ／ 親密だ／ねんごろだ／心がこもっている ／ 上品だ／繊細だ
あながちなり（強ちなり）,一途だ／ひたむきだ ／ むやみだ／あんまりだ ／ 無理だ／強引だ ／ 必ずしも／決して
あてなり（貴なり）,身分が高い／高貴だ ／ 上品だ／優雅だ
すずろなり・そぞろなり（漫ろなり）,むやみに／何となく ／ 思いがけない ／ いい加減だ／無関係だ
とみなり（頓なり）,急だ／にわかだ ／ 急には／早速に／突然
むげなり（無下なり・無碍なり）,全くひどい／あんまりだ ／ 身分が低い／卑賤だ ／ 紛れもなり／疑問の余地がない
いたづらなり（徒らなり）,むだだ／無益だ ／ むなしい／つまらない／退屈だ
