古文,現代語訳
わざとならず,さりげない
あへず,...できない
あれかにもあらず,茫然自失としている
はかなくなる,死ぬ
さらぬわかれ,死別
さりぬべし,そうするのがよい
さるべき,そうなるはずの ／ ふさわしい
さるものにて,それはそれとして ／ それはもちろんで
ありありて,結局
あなかしこ,ああ／恐れ多い ／ 決して（＋打消）
いざたまへ,さあ／いらっしゃい
いきとしいける,すべての生き物
こころあり,情趣がある ／ 思いやりがある
ごさんなれ,...であるらしい
なでふ,何という ／ どうして
れいの,いつものように
れんりのえだ,男女の深い契り
いかがはせん,どうしようもない
